市场,代码,名称,板块,细分行业,最新价,货币,总市值(亿),市盈率TTM,市净率,市销率,股息率%,52周位置,距52周高点%,250日涨跌幅%,60日涨跌幅%,营收同比%,净利同比%,最新季营收同比%,毛利率%,净利率%,ROE%,估值得分,成长得分,位置得分,质量得分,综合机会分,数据完整度,标签,最新报告期
港股,06831,绿茶集团,可选消费,中式餐饮,5.32,HKD,35.0,5.68,1.92,0.58,9.77,0.0192,-43.36,-28.74,-25.77,16.7823609671,24.4170125369,,68.330034619178,10.2121009866,38.56753089586,74.2,77.9,63.3,79.1,74.7,4,低位+低估+正增长,2026-06-30
港股,00590,六福集团,可选消费,黄金珠宝,21.76,HKD,127.8,6.24,0.85,,7.22,0.2125,-32.66,-5.29,10.07,28.9623083816,86.0039968578,,36.675293494855,11.7138776659,14.500206521471,85.7,91.9,34.9,47.3,72.3,4,低位+低估+正增长,2026-03-31
港股,00116,周生生,可选消费,黄金珠宝,14.11,HKD,94.8,3.19,0.58,0.38,7.09,0.6423,-15.06,31.41,31.78,16.6965202153,138.7220192185,,32.617526340004,7.6377536116,12.772069382134,91.5,86.0,12.1,31.8,66.0,4,低估+正增长,2026-06-30
港股,02150,奈雪的茶,可选消费,现制茶饮,0.635,HKD,10.7,-4.3,0.27,0.23,,0.0146,-61.52,-60.56,-14.19,-13.0937642356,16.7274528729,,66.049335257039,-5.6211144058,-6.313437027439,96.1,40.7,84.7,32.6,65.1,4,低位+亏损/无PE+负增长,2026-06-30
港股,06181,老铺黄金,可选消费,黄金珠宝,383.0,HKD,676.9,8.66,4.45,1.67,6.31,0.1762,-54.03,-45.45,-24.52,60.3366504404,88.1863011862,,37.628318367557,17.8291879804,64.838947088499,39.3,96.5,55.3,69.8,65.0,4,低位+低估+正增长,2026-06-30
港股,00520,呷哺呷哺,可选消费,火锅餐饮,0.27,HKD,2.9,-1.04,0.6,0.08,,0.0414,-75.0,-66.25,-22.86,-23.1332337649,57.1950189703,,64.9910457531,-7.8239926307,-48.570265002764,92.8,44.2,79.5,29.5,63.6,4,低位+亏损/无PE+负增长,2026-06-30
港股,01361,361度,可选消费,运动服饰,4.585,HKD,99.4,6.31,0.76,0.73,11.76,0.2634,-32.55,-17.01,-1.18,7.9748388646,7.9571873288,,41.52706810772,11.9982102722,13.456649248237,80.3,58.1,35.3,52.7,61.4,4,低位+低估+正增长,2026-06-30
港股,02555,茶百道,可选消费,现制茶饮,4.26,HKD,62.9,6.83,1.4,0.97,9.46,0.0,-51.98,-51.71,-18.19,6.209877778,3.1975771932,,32.508190814277,15.2241825312,20.416222091987,67.9,45.3,88.6,51.2,60.9,4,低位+低估+正增长,2026-06-30
港股,01405,达势股份,可选消费,咖啡及西式快餐,33.48,HKD,44.1,24.73,1.52,0.64,,0.0688,-63.52,-61.73,-9.61,20.8382850246,22.9370183848,,72.705459465516,2.6371378771,6.065944473435,46.7,79.1,73.0,46.5,60.3,4,低位+正增长,2026-06-30
港股,02589,沪上阿姨,可选消费,现制茶饮,81.4,HKD,85.6,12.19,3.45,1.4,5.16,0.1105,-51.68,-46.12,-44.97,42.397609847,58.3184654358,,31.445162220723,11.2260851962,32.247444590856,37.6,93.0,59.1,50.4,60.0,4,低位+低估+正增长,2026-06-30
港股,09992,泡泡玛特,可选消费,潮流玩具,157.3,HKD,2094.9,14.03,7.89,4.44,1.73,0.0962,-52.6,-50.36,-11.15,23.7574187772,10.1438275189,,72.10365976858,35.0539433512,77.519468320973,16.1,73.3,63.7,98.4,56.9,4,低位+正增长,2026-06-30
港股,09896,名创优品,可选消费,潮流零售,18.81,HKD,228.4,15.77,1.96,0.83,6.93,0.0,-62.06,-58.86,-27.37,22.4184381066,6.1279427834,,44.992523955729,5.6417821315,11.512946780596,44.8,66.3,91.4,38.0,56.9,4,低位+正增长,2026-06-30
港股,09922,九毛九,可选消费,中式餐饮,1.16,HKD,15.5,18.22,0.44,0.27,1.72,0.0063,-57.66,-57.66,-23.18,-13.1516766687,24.901550477,,64.484512018266,0.9792866148,1.826890947019,68.9,44.2,85.6,31.8,56.6,4,低位+负增长,2026-06-30
港股,00151,中国旺旺,必选消费,休闲食品,3.09,HKD,362.6,8.34,1.62,,3.5,0.0155,-46.93,-43.24,-23.99,3.7851982267,-11.4978093974,,46.30140612971,15.6870355787,20.386593315232,65.4,31.4,73.0,65.9,56.4,4,低位+低估+正增长,2026-03-31
港股,02331,李宁,可选消费,运动服饰,13.56,HKD,350.5,10.2,1.06,1.0,4.69,0.0,-40.3,-28.81,-22.9,2.8244158323,4.5333258126,,48.951391555839,9.9185811187,10.927519413864,63.4,40.7,74.7,50.4,55.7,4,低位+低估+正增长,2026-06-30
港股,01368,特步国际,可选消费,运动服饰,3.67,HKD,103.3,7.08,0.82,0.63,7.49,0.051,-45.55,-45.14,-18.26,-0.6248499117,-10.4732214789,,42.845065035998,9.6923373938,14.510070329733,81.5,24.4,64.2,50.4,55.6,4,低位+低估+负增长,2026-06-30
港股,02020,安踏体育,可选消费,运动服饰,77.95,HKD,2180.0,11.94,2.64,2.19,3.14,0.3009,-23.59,-22.14,4.85,12.8761934413,34.9310197696,,61.997781074309,19.5240529052,21.312671063673,32.8,75.6,34.9,77.5,54.9,4,低位+低估+正增长,2026-06-30
港股,01112,H&H国际控股,必选消费,保健食品,18.41,HKD,118.8,14.11,1.58,0.64,1.9,0.962,-1.72,45.39,63.3,23.8868799644,759.8349690919,,62.449358420981,1.3664892172,3.323214646814,54.6,95.3,2.3,33.3,54.7,4,正增长,2026-06-30
港股,01458,周黑鸭,必选消费,卤味及辣味零食,1.245,HKD,25.9,16.15,0.66,0.8,7.23,0.0492,-50.2,-48.34,-1.97,19.5299866428,-15.2343894756,,57.547070496627,6.1781000209,4.377196130048,58.8,48.8,68.4,38.0,53.1,4,低位+正增长,2026-06-30
港股,09985,卫龙美味,必选消费,卤味及辣味零食,7.745,HKD,188.2,11.36,2.18,2.16,5.08,0.1027,-44.34,-41.43,-0.39,6.6603310139,4.5764161638,,47.985557103995,19.7579819593,21.436575957305,39.6,48.8,56.7,72.1,51.4,4,低位+低估+正增长,2026-06-30
港股,06186,中国飞鹤,必选消费,乳制品,2.82,HKD,248.4,12.33,0.89,1.16,8.86,0.0129,-35.17,-34.42,-8.77,2.3150365689,-16.3001884802,,65.012255291004,11.5599126243,7.701563300309,58.8,25.6,72.1,58.9,50.9,4,低位+低估+正增长,2026-06-30
港股,00506,中国食品,必选消费,软饮料,3.815,HKD,106.7,10.28,1.31,0.41,4.64,0.4262,-20.47,16.36,15.65,3.9531812067,7.8285699452,,37.07622535802,6.4704871672,12.905339265818,74.3,47.7,20.5,35.7,50.5,4,低估+正增长,2026-06-30
港股,03998,波司登,可选消费,服装,4.31,HKD,505.3,11.17,2.43,,7.26,0.6171,-11.81,-1.76,3.61,5.5913946695,13.673218432,,57.224001626327,14.797323435,22.704910114487,47.3,54.7,19.5,71.3,50.1,4,低估+正增长,2026-03-31
港股,01717,澳优,必选消费,乳制品,1.21,HKD,21.5,-2.65,0.37,0.27,4.13,0.0405,-53.99,-50.81,-13.57,-18.6172023319,-490.7089895486,,38.637828716164,2.5251747573,3.021816951156,92.9,4.7,74.4,18.6,48.8,4,低位+亏损/无PE+负增长,2026-06-30
港股,00168,青岛啤酒股份,必选消费,啤酒,40.92,HKD,558.2,10.51,1.55,1.51,6.6,0.0,-23.09,-16.48,-10.13,-4.0813589465,0.3965946124,,41.844416247901,14.5269758031,15.368120592012,49.9,26.7,70.0,58.1,47.6,4,低位+低估+负增长,2026-06-30
港股,01876,百威亚太,必选消费,啤酒,6.045,HKD,800.6,18.6,1.03,1.73,7.32,0.0,-27.97,-24.26,-13.91,1.1160714286,15.6479217604,,50.086745315753,9.0215128383,4.783331703023,38.1,44.2,72.8,41.9,45.9,4,低位+正增长,2026-06-30
港股,01044,恒安国际,必选消费,个人护理及家居,22.02,HKD,254.4,9.27,1.01,0.98,7.08,0.0429,-23.28,-4.09,-8.55,-6.0704854037,-8.6570412574,,33.837263543349,10.9808894402,11.881413134549,66.7,22.1,48.4,40.3,45.3,4,低位+低估+负增长,2026-06-30
港股,00999,小菜园,可选消费,中式餐饮,7.6,HKD,88.5,12.54,3.2,1.37,6.44,0.3078,-33.02,-29.53,11.31,6.9623159224,-24.2046877983,,70.398838859806,13.3784813018,29.760444676209,37.5,33.7,39.1,80.6,45.2,4,低位+低估+正增长,2026-06-30
港股,00178,莎莎国际,可选消费,美妆零售,0.955,HKD,29.6,14.78,2.31,,4.76,1.0,0.0,74.86,25.16,14.158301978,160.4679562964,,38.210582759093,4.5746816958,16.432246182898,32.9,84.9,0.0,37.2,44.4,4,正增长,2026-03-31
港股,06862,海底捞,可选消费,火锅餐饮,11.8,HKD,657.7,14.33,5.85,1.26,6.12,0.1783,-31.72,-12.83,-6.12,7.8905897776,0.4746022945,,59.45392235645,9.3507271369,39.611485404294,28.6,48.8,38.1,69.8,44.3,4,低位+正增长,2026-06-30
港股,09633,农夫山泉,必选消费,软饮料,43.24,HKD,4863.0,25.01,11.36,7.36,2.61,0.2371,-21.3,-4.52,1.03,15.9857422085,16.5934189635,,60.525866217494,30.194853149,44.227718985025,1.7,70.9,31.2,88.4,44.2,4,低位+正增长,2026-06-30
港股,01929,周大福,可选消费,黄金珠宝,12.65,HKD,1248.1,13.86,4.03,,5.3,0.4397,-20.68,-8.99,15.09,5.2895511734,52.2153664103,,32.310293394803,9.6192308344,31.374523509202,29.9,65.1,24.7,46.5,43.0,4,正增长,2026-03-31
港股,00220,统一企业中国,必选消费,方便食品,7.485,HKD,323.3,13.07,2.17,0.87,7.34,0.3388,-17.62,-16.42,-5.79,1.3717073665,8.9874952398,,33.200181028696,6.4646970552,15.186957329632,49.1,44.2,29.3,34.9,41.8,4,低位+低估+正增长,2026-06-30
港股,02097,蜜雪集团,可选消费,现制茶饮,211.2,HKD,801.8,12.91,2.61,2.03,,0.0206,-56.75,-55.97,-20.8,2.292432797,-14.7265905253,,31.143581586883,17.6611758019,29.878291231095,31.9,26.7,77.7,54.3,41.7,4,低位+低估+正增长,2026-06-30
港股,00291,华润啤酒,必选消费,啤酒,19.44,HKD,630.7,18.91,1.54,1.41,5.91,0.0,-31.62,-29.05,-18.74,1.2446746304,-10.7099671791,,43.06963274977,8.3559299724,10.54195202802,35.4,26.7,76.5,41.1,40.1,4,低位+正增长,2026-06-30
港股,02319,蒙牛乳业,必选消费,乳制品,18.0,HKD,696.8,31.7,1.49,0.7,3.32,0.7642,-7.21,14.54,10.13,7.7651973337,15.9359166649,,39.891136651513,1.9745481254,3.765420045051,44.4,61.6,10.2,21.7,39.9,4,正增长,2026-06-30
